CPM_ID	Chinese_patent_medicine	Pinyin_term	Routes_of_administration
CPM00001	阿归养血胶囊	Egui Yangxue Jiaonang	Oral
CPM00002	阿归养血颗粒	Egui Yangxue Keli	Oral
CPM00003	阿归养血口服液	Egui Yangxue Koufuye	Oral
CPM00004	阿归养血糖浆	Egui Yangxue Tangjiang	Oral
CPM00005	阿胶补血膏	Ejiao Buxue Gao	Oral
CPM00006	阿胶补血颗粒	Ejiao Buxue Keli	Oral
CPM00007	阿胶补血口服液	Ejiao Buxue Koufuye	Oral
CPM00008	阿胶参芪酒	Ejiao Shenqi Jiu	Oral
CPM00009	阿胶当归合剂	A jiao Danggui Heji	Oral
CPM00010	阿胶当归胶囊	Ejiao Danggui Jiaonang	Oral
CPM00011	阿胶当归颗粒	Ejiao Danggui Keli	Oral
CPM00012	阿胶当归口服液	Ejiao Danggui Koufuye	Oral
CPM00013	阿胶胶囊	Ejiao Jiaonang	Oral
CPM00014	阿胶颗粒	Ejiao Keli	Oral
CPM00015	阿胶口服液	Ejiao Koufuye	Oral
CPM00016	阿胶牡蛎口服液	Ejiao Muli Koufuye	Oral
CPM00017	阿胶强骨口服液	Ejiao Qianggu Koufuye	Oral
CPM00018	阿胶三宝膏	Ejiao Sanbao Gao	Oral
CPM00019	阿胶三宝颗粒	Ejiao Sanbao Keli	Oral
CPM00020	阿胶生化膏	Ejiao Shenghua Gao	Oral
CPM00021	阿胶养血膏	Ejiao Yangxue Gao	Oral
CPM00022	阿胶养血颗粒	Ejiao Yangxue Keli	Oral
CPM00023	阿胶益寿合剂	Ejiao Yishou Heji	Oral
CPM00024	阿胶益寿晶	Ejiao Yishou Jing	Oral
CPM00025	阿胶益寿口服液	Ejiao Yishou Koufuye	Oral
CPM00026	阿胶远志膏	Ejiao Yuanzhi Gao	Oral
CPM00027	阿胶珍珠膏	Ejiao Zhenzhu Gao	Oral
CPM00028	阿拉坦五味丸	Alatan Wuwei Wan	Oral
CPM00029	阿里红咳喘口服液	Alihong Kechuan Koufuye	Oral
CPM00030	阿那日八味散	Anari Bawei San	Oral
CPM00031	阿那日十四味散	Ana ri Shisiwei San	Oral
CPM00032	阿那日五味散	Anari Wuwei San	Oral
CPM00033	阿娜尔妇洁液	Ana’er Fujie Ye	Topical
CPM00034	阿魏八味丸	Awei Bawei Wan	Oral
CPM00035	阿魏化痞膏	Awei Huapi Gao	Topical
CPM00036	阿珍养血口服液	Ezhen Yangxue Koufuye	Oral
CPM00037	艾迪注射液	Aidi Zhusheye	Injection
CPM00038	艾附暖宫丸	Aifu Nuangong Wan	Oral
CPM00039	艾叶油胶囊	Aiyeyou Jiaonang	Oral
CPM00040	艾叶油软胶囊	Aiyeyou Ruanjiaonang	Oral
CPM00041	艾愈胶囊	Aiyu Jiaonang	Oral
CPM00042	爱维心口服液	Aiweixin Koufuye	Oral
CPM00043	安喘片	Anchuan Pian	Oral
CPM00044	安多霖胶囊	Anduolin Jiaonang	Oral
CPM00045	安儿宁颗粒	An’erning Keli	Oral
CPM00046	安尔眠胶囊	An’ermian Jiaonang	Oral
CPM00047	安尔眠颗粒	An´ermian Keli	Oral
CPM00048	安尔眠糖浆	Anermian Tangjiang	Oral
CPM00049	安宫降压丸	Angong Jiangya Wan	Oral
CPM00050	安宫牛黄胶囊	Angong Niuhuang Jiaonang	Oral
CPM00051	安宫牛黄片	Angong Niuhuang Pian	Oral
CPM00052	安宫牛黄栓	Angong Niuhuang Shuan	Topical
CPM00053	安宫牛黄丸	Angong Niuhuang Wan	Oral
CPM00054	安宫止血膏	Angong Zhixue Gao	Oral
CPM00055	安宫止血颗粒	Angong Zhixue Keli	Oral
CPM00056	安宫止血丸	Angong Zhixue Wan	Oral
CPM00057	安康胶囊	Ankang Jiaonang	Oral
CPM00058	安康颗粒	Ankang Keli	Oral
CPM00059	安康片	Ankang Pian	Oral
CPM00060	安康欣胶囊	Ankangxin Jiaonang	Oral
CPM00061	安坤胶囊	Ankun Jiaonang	Oral
CPM00062	安坤颗粒	Ankun Keli	Oral
CPM00063	安坤片	Ankun Pian	Oral
CPM00064	安坤赞育丸	Ankun Zanyu Wan	Oral
CPM00065	安乐胶囊	Anle Jiaonang	Oral
CPM00066	安乐片	Anle Pian	Oral
CPM00067	安络化纤丸	Anluo Huaxian Wan	Oral
CPM00068	安络宁片	Anluoning Pian	Oral
CPM00069	安络痛酊	Anluotong Ding	Oral
CPM00070	安络痛胶囊	Anluotong Jiaonang	Oral
CPM00071	安络痛片	Anluotong Pian	Oral
