CPM_ID	CHP_ID	Dosage_ratio
CPM00001	CHP03791	
CPM00001	CHP01118	
CPM00001	CHP05746	
CPM00001	CHP01717	
CPM00001	CHP06090	
CPM00001	CHP00638	
CPM00001	CHP00641	
CPM00001	CHP03635	
CPM00001	CHP00419	
CPM00002	CHP03791	0.0433
CPM00002	CHP05746	0.0433
CPM00002	CHP01717	0.0433
CPM00002	CHP06090	0.0433
CPM00002	CHP00638	0.6968
CPM00002	CHP00641	0.0433
CPM00002	CHP01118	0.0217
CPM00002	CHP03635	0.0433
CPM00002	CHP00419	0.0217
CPM00003	CHP03791	
CPM00003	CHP05746	
CPM00003	CHP01717	
CPM00003	CHP06090	
CPM00003	CHP00638	
CPM00003	CHP00641	
CPM00003	CHP01118	
CPM00003	CHP03635	
CPM00003	CHP00419	
CPM00004	CHP03791	
CPM00004	CHP05746	
CPM00004	CHP01717	
CPM00004	CHP06090	
CPM00004	CHP00638	
CPM00004	CHP00641	
CPM00004	CHP01118	
CPM00004	CHP03635	
CPM00004	CHP00419	
CPM00005	CHP03791	0.25
CPM00005	CHP01236	0.125
CPM00005	CHP05746	0.125
CPM00005	CHP01717	0.125
CPM00005	CHP00142	0.125
CPM00005	CHP00641	0.25
CPM00006	CHP03791	
CPM00006	CHP01236	
CPM00006	CHP05746	
CPM00006	CHP01717	
CPM00006	CHP00142	
CPM00006	CHP00641	
CPM00007	CHP03791	0.219
CPM00007	CHP05746	0.2336
CPM00007	CHP01236	0.1095
CPM00007	CHP01717	0.1095
CPM00007	CHP00142	0.1095
CPM00007	CHP00641	0.219
CPM00008	CHP03791	
CPM00008	CHP01236	
CPM00008	CHP05746	
CPM00008	CHP01717	
CPM00008	CHP06090	
CPM00008	CHP00142	
CPM00008	CHP00638	
CPM00008	CHP00641	
CPM00008	CHP01118	
CPM00008	CHP03635	
CPM00008	CHP03319	
CPM00008	CHP03344	
CPM00008	CHP00419	
CPM00009	CHP03791	0.0438
CPM00009	CHP05746	0.0438
CPM00009	CHP01717	0.0438
CPM00009	CHP06090	0.0438
CPM00009	CHP00638	0.6934
CPM00009	CHP00641	0.0438
CPM00009	CHP01118	0.0219
CPM00009	CHP03635	0.0438
CPM00009	CHP00419	0.0219
CPM00010	CHP03791	
CPM00010	CHP01118	
CPM00010	CHP01717	
CPM00010	CHP05746	
CPM00010	CHP06090	
CPM00010	CHP00638	
CPM00010	CHP00641	
CPM00010	CHP03635	
CPM00010	CHP00419	
CPM00011	CHP00419	
CPM00011	CHP03791	
CPM00011	CHP03635	
CPM00011	CHP01118	
CPM00011	CHP01717	
CPM00011	CHP05746	
CPM00011	CHP06090	
CPM00011	CHP00638	
CPM00011	CHP00641	
CPM00012	CHP03791	
CPM00012	CHP01717	
CPM00012	CHP05746	
CPM00012	CHP06090	
CPM00012	CHP00638	
CPM00012	CHP00641	
CPM00012	CHP01118	
CPM00012	CHP03635	
