CHP_ID	Chinese_herbal_pieces	Chinese_synonyms	Pinyin_term	English_term	Sources
CHP00001	阿尔泰多榔菊		a er tai duo lang ju	Doronicum altaicum	Viridiplantae
CHP00002	阿氏蒿		a shi hao	Ashurbajev Wormwood*	Viridiplantae
CHP00003	阿魏	阿里红|臭阿魏	a wei	Resina Ferulae	Viridiplantae
CHP00004	阿育魏实		a yu wei shi	Fructus Trachyspermi ammi	Viridiplantae
CHP00005	埃蕾		ai lei	Centaurium pulchellum	Viridiplantae
CHP00006	矮醋栗		ai cu li	Ribes humile	Viridiplantae
CHP00007	矮脚苦蒿	金龙胆草	ai jiao ku hao	Eschenbachia blinii	Viridiplantae
CHP00008	矮茎朱砂根		ai jing zhu sha gen	Ardisia brevicaulis	Viridiplantae
CHP00009	矮冷水花	水石油菜	ai leng shui hua	Pilea peploides	Viridiplantae
CHP00010	矮人陀		ai ren tuo	Gynura pseudochina	Viridiplantae
CHP00011	艾纳香	艾片|艾纳香油|龙脑香|大风艾	ai na xiang	Balsamiferous Blumea	Viridiplantae
CHP00012	艾纳香根		ai na xiang gen	Blumea balsamifera	Viridiplantae
CHP00013	艾实		ai shi	Fructus Artemiiae argyi	Viridiplantae
CHP00014	艾叶	艾把|艾|艾叶油|艾绒	ai ye	leaf of Argy Wormwood	Viridiplantae
CHP00015	安哥拉八角枫		an ge la ba jiao feng	Angola Alangium	Viridiplantae
CHP00016	安徽贝母		an hui bei mu	Anhui Fritillary	Viridiplantae
CHP00017	安徽杜鹃		an hui du juan	Rhododendron maculiferum	Viridiplantae
CHP00018	安徽小檗	安徽刺黄柏	an hui xiao bo	Berberis anhweiensis	Viridiplantae
CHP00019	安息香		an xi xiang	Benzoinum	Viridiplantae
CHP00020	桉叶	桉叶油	an ye	Eucalyptus Leaf	Viridiplantae
CHP00021	桉油		an you	Oleum Eucalypti	Viridiplantae
CHP00022	庵闾		an lv	Artemisia keiskeana	Viridiplantae
CHP00023	暗紫贝母		an zi bei mu	Unibract Fritillary	Viridiplantae
CHP00024	凹瓦韦		ao wa wei	Lepisorus scolopendrius	Viridiplantae
CHP00025	八宝镇心丹		ba bao zhen xin dan	Ophiopogon dracaenoides	Viridiplantae
CHP00026	八角枫		ba jiao feng	Chinese Alangium Equivalent plant: Alangium platanifolium	Viridiplantae
CHP00027	八角枫根		ba jiao feng gen	Alangium chinense	Viridiplantae
CHP00028	八角枫花		ba jiao feng hua	Alangium chinense	Viridiplantae
CHP00029	八角枫叶		ba jiao feng ye	Alangium chinense	Viridiplantae
CHP00030	八角茴香	白木香|八角茴香油	ba jiao hui xiang	Fructus Anisi Stellati	Viridiplantae
CHP00031	八角金盘		ba jiao jin pan	Fatsia japonica	Viridiplantae
CHP00032	八角莲	八角莲叶|盾叶鬼臼|鬼臼	ba jiao lian	Dysosmae Verspiellis Rhixoma Et Radix	Viridiplantae
CHP00033	八月瓜	三叶莲	ba yue gua	Fructus Akebiae	Viridiplantae
CHP00034	八月札		ba yue zha	Akebia trifoliata var. australis	Viridiplantae
CHP00035	八月炸		ba yue zha	Akebia trifoliata	Viridiplantae
CHP00036	八爪金龙		ba zhao jin long	Ardisia crispa	Viridiplantae
CHP00037	巴豆	毛叶巴豆|生巴豆|哥伦比亚巴豆	ba dou	Fructus Crotonis	Viridiplantae
CHP00038	巴豆霜		ba dou shuang	Semen Crotonis Pulveratum	Viridiplantae
